Station,name,prices,"longitude, latitude",
Petron,Petron Mintal,Max Diesel = 74.50,"7.090909536768803, 125.5039563410829",
,,Xtra Advance = 72.10,,
,,XCS = 73.90,,
Sea Oil,Sea Oil Mintal,Exceed Diesel = 72.69,"7.089785333936455, 125.50497677070851",
,,Extreme U = 72.24,,
,,Extreme 95 = 72.74,,
SK,SK Greenmedows,Diesel = 79.00,"7.080008533599978, 125.51372807632903",
,,Regular = 77.00,,
,,Premium = 77.30,,
Blue Energy,Blue Energy Greenmedows,Diesel = 81.95,"7.079458734571863, 125.51365991575764",
,,Regular = 79.40,,
,,Premium = 79.90,,
Shell,Shell Catalunan Pequeno,FS Diesel = 70.00,"7.07620328651325, 125.5164824626014",
,,VPower Diesel = 78.58,,
,,FS Gasoline = 82.70,,
,,VPower Gasoline = 83.70,"7.071166575766461, 125.52298218501235",
Caltex,Caltex Catalunan,Diesel = 72.34,,
,,Silver = 81.44,,
,,Platinum = 83.44,"7.065810674335532, 125.5294277285118",
Philfunes,Philfunes,Diesel = 77.98,,
,,Regular = 75.98,,
,,Premium = 76.98,,
Sea Oil,Sea Oil Matina Crossing,Exceed Diesel = 73.30,"7.0592081740600445, 125.56718795125045",
,,Extreme U = 73.84,,
,,Extreme 95 = 74.34,,
Phoenix,Phoenix Matina Crossing,Diesel = 73.30,"7.058827032657413, 125.5679311202206",
,,Super = 73.84,,
,,Premium = 74.34,,
Petron,St Teres Petron,Diesel = 74.60,"7.055622039127982, 125.57560791772151",
,,Xtra = 74.90,,
,,XCS = 75.90,,
,,Turbo = 77.60,,
Shell,Shell McArthur,FS Diesel = 73.20,"7.059612140494602, 125.58484233330911",
,,VPower Diesel = 83.00,,
,,FS Gasoline = 81.90,,
,,VPower Gasoline = 90.80,,
Petron,Petron Bangkal,Diesel Max = 74.50,"7.061215642089502, 125.56269431103449",
,,Turbo Diesel = 77.60,,
,,Xtra Advance = 76.50,,
,,XCS = 77.50,,
SK,SK Gas Station Bangkal,Diesel = 78.50,"7.0612741008099125, 125.56268698661428",
,,Regular = 76.90,,
,,Premium = 77.20,,
Shell,Shell Cat. Ulas,FS Diesel = 69.80,"7.06077100019497, 125.55497242932648",
,,VPower Diesel = 79.80,,
,,FS Gasoline = 82.30,,
,,VPower Gasoline = 83.30,,
Uni Oil,Uni Oil,Diesel = 70.90,"7.063541106564841, 125.5993335070275",
,,Gasoline 91 = 75.00,,
,,Gasoline 95 = 79.10,,
Petron,Petron McArthur,Diesel = 74.60,"7.0633257775852005, 125.59860161887168",
,,Xtra = 74.90,,
,,XCS = 75.90,,
Phoenix,Phoenix Water District,Super = 79.14,"7.061476692819796, 125.59068795680763",
,,Premium = 80.14,,
,,Premium 98 = 100.00,,
Jetti,Jetti,Diesel Master = 83.30,"7.060996846858231, 125.58886495517436",
,,Accel Rate = 81.50,,
,,DX Premium = 82.50,,
My Gas,My Gas,Diesel = 81.75,"7.100262818937968, 125.49915569993526",
,,Premium = 81.00,,
,,Ambient = 80.50,,
Shell,Shell McArthur,FS Diesel = 73.20,"7.05963258333434, 125.58484879639492",
,,VPower Diesel = 83.00,,
,,FS Gasoline = 81.90,,
,,VPower Gasoline = 90.80,,
Sea Oil,Sea Oil,Exceed Diesel = 73.20,"7.059321473119397, 125.53842135059608",
,,Extreme U = 72.24,,
,,Extreme 95 = 72.74,,
Exson,Exson,Diesel = 78.50,"7.063144553987559, 125.53293086525572",
,,Premium = 76.50,,
Gas Island,Gas Island,Diesel = 82.50,"7.059321473119397, 125.53842135059608",
,,Regular = 76.00,,
,,Premium = 76.80,,
Shell,Shell Catalunan grande,FS Diesel = 69.80,"7.072154842740364, 125.54810606892461",
,,VPower Diesel = 79.80,,
,,FS Gasoline = 82.30,,
,,VPower Gasoline = 83.30,,
